question,answer,law_ref,visa_type,risk_level,notes
How many hours can an F‑1 student work on‑campus while school is in session?,Up to 20 hours per week during the academic term. Schools may allow more during official breaks/vacation.,"8 CFR 214.2(f) (On‑campus employment); USCIS PM Vol.2 Part F, Chapter 6 – Employment",F1,violation,
Can an F‑1 student exceed 20 hours on‑campus during spring/winter/summer break?,"Yes, during official breaks and annual vacation, on‑campus work may exceed 20 hours if permitted by the school.","USCIS I‑9 M‑274 §7.4.2; ICE SEVIS Employment guidance; USCIS PM Vol.2 Part F, Chapter 6",F1,safe,
Is off‑campus work allowed without prior authorization for F‑1 students?,"No. Off‑campus employment generally requires advance authorization (e.g., severe economic hardship or practical training).","USCIS PM Vol.2 Part F, Chapter 6 – Employment; 8 CFR 214.2(f)",F1,violation,
What is CPT and when is it allowed?,"Curricular Practical Training is employment integral to the curriculum, authorized by the DSO. It must relate to the major.","8 CFR 214.2(f)(10)(i); USCIS PM Vol.2 Part F, Chapter 5 – Practical Training",F1,safe,
Must an F‑1 student complete one academic year before CPT?,"Generally yes, except for graduate programs that require immediate training as part of the curriculum.",8 CFR 214.2(f)(10)(i) (one academic year; program‑required exception),F1,unclear,
What is OPT?,"Optional Practical Training is employment directly related to the major; may be pre‑completion or post‑completion, with STEM OPT as an extension.","8 CFR 214.2(f)(10)(ii); USCIS PM Vol.2 Part F, Chapter 5",F1,safe,
How long is standard post‑completion OPT?,"Up to 12 months of OPT per higher educational level, subject to unemployment limits and other conditions.","8 CFR 214.2(f)(10)(ii); USCIS PM Vol.2 Part F, Chapter 5",F1,safe,
What is STEM OPT and how long is it?,A 24‑month extension of post‑completion OPT for eligible STEM degrees with additional employer and reporting requirements.,"8 CFR 214.2(f)(10)(ii)(C); USCIS PM Vol.2 Part F, Chapter 5",F1,safe,
Does STEM OPT require E‑Verify and Form I‑983?,Yes. The employer must use E‑Verify and the student must have an approved Form I‑983 training plan with reporting duties.,"USCIS PM Vol.2 Part F, Chapter 5 – STEM OPT requirements",F1,violation,
What are OPT unemployment limits?,"Generally up to 90 days during the initial 12‑month OPT, with an additional 60 days during the STEM OPT extension.","USCIS PM Vol.2 Part F, Chapter 5 – OPT unemployment rules",F1,violation,
Can unpaid internships count as employment on OPT?,"Yes, if they meet labor and program rules and relate to the major; documentation is expected.","USCIS PM Vol.2 Part F, Chapter 5 – OPT employment types",F1,unclear,
